ListOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
"Amy Farrell Caves, Broker",9,17293000.0,1900000.0,829.38,33.56,22.0,0.9823,0.9408,37.33,22.89,0.00201165,0.00324209,4401,2586
CORE Real Estate Services,22,17288604.0,727000.0,526.73,30.45,27.0,0.9869,0.937,33.0,27.91,0.00491735,0.00324127,2171,2587
Signature Realty & Loans,29,17286000.0,550000.0,318.42,63.9,53.0,0.9808,0.9452,74.93,31.34,0.00648197,0.00324078,1757,2588
HOME TEAM REALTY,16,17264500.0,873000.0,616.94,20.81,15.5,0.9992,0.9833,30.56,34.5,0.00357626,0.00323675,2824,2589
"Prime Equity Properties, Inc.",10,17263000.0,1397500.0,787.39,23.4,8.0,1.049,1.0319,28.0,33.9,0.00223516,0.00323647,4060,2590
American Dream Realty,14,17262616.8,1147500.0,633.58,31.21,18.0,0.997,0.9745,31.57,33.86,0.00312923,0.00323639,3148,2591
RE/MAX GOLD,43,17253820.0,394000.0,255.42,57.07,26.0,0.98,0.9444,60.07,33.42,0.00961119,0.00323475,1286,2592
"Premier Agent Network, Inc",7,17245000.0,1385000.0,797.81,35.29,30.0,0.9886,0.9685,46.43,33.29,0.00156461,0.00323309,5273,2593
REALTY MASTERS & ASSOC. INC.,27,17237500.0,620000.0,395.13,28.37,8.0,0.9676,0.9758,36.59,48.74,0.00603494,0.00323169,1862,2594
RE/MAX Unlimited Real Estate,15,17232700.0,1100000.0,558.4,35.27,19.0,0.9881,0.973,37.8,40.87,0.00335274,0.00323079,2970,2595
Vic J. Diermendjian,3,17222000.0,817000.0,531.9,60.0,50.0,3.4752,3.114,60.67,31.33,0.00067055,0.00322878,8812,2596
"Epik Realty, Inc",23,17221399.0,725000.0,577.6,19.04,14.0,1.0248,1.0189,23.52,28.61,0.00514087,0.00322867,2103,2597
Sand & Sea Investments,9,17209000.0,2175000.0,663.53,38.11,29.0,0.9945,0.9853,38.78,25.89,0.00201165,0.00322634,4401,2598
Dolan Realty Company,12,17207250.0,1500000.0,754.06,13.17,14.5,1.1326,1.1448,13.17,19.5,0.00268219,0.00322601,3540,2599
Metro to Mountain Real Estate,18,17197400.0,880000.0,548.61,28.06,12.5,0.9996,0.9846,45.5,28.72,0.00402329,0.00322417,2568,2600
