top100_sales_volume_position,BuyerOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
72,"eXp Realty of Greater Los Angeles, Inc.",840,767011726.0,700000.0,452.97,40.11,21.0,1.0001,0.9852,50.12,35.9,0.18775355,0.14379931,54,74
73,Cabrillo Mortgage & Realty Svc,20,756216000.0,895000.0,414.33,32.0,15.0,51.287,50.2712,43.2,30.8,0.00447032,0.14177533,2220,75
74,RE/MAX Gold Coast REALTORS,813,750495902.86,807000.0,509.33,35.72,21.0,0.999,0.9887,46.51,26.03,0.18171862,0.14070292,60,76
75,"Circa Properties, Inc.",711,748588839.0,920000.0,578.38,27.7,12.0,1.0108,2.5862,38.0,31.14,0.15891997,0.14034539,70,77
76,Team Forss Realty Group,311,743929660.0,700000.0,349.12,40.19,22.0,4.1461,4.1291,50.26,31.4,0.06951352,0.13947188,199,78
77,Keller Williams,214,741602366.0,605000.0,372.49,38.81,18.5,5.6012,5.5862,42.99,27.01,0.04783245,0.13903556,287,79
78,Dudum Real Estate Group,537,736898517.0,1155000.0,633.24,26.24,12.0,1.0228,1.0126,27.36,23.01,0.12002816,0.13815369,98,80
79,Alliance Bay Realty,579,736232930.0,1139900.0,694.88,25.88,13.0,1.0212,1.0284,26.65,27.77,0.12941584,0.1380289,91,81
80,Premier Agency Real Estate Inc.,68,731927650.0,820000.0,559.08,29.99,14.0,14.0076,12.0788,37.29,28.88,0.0151991,0.13722175,793,82
81,Pacific Sotheby's International Realty,372,726256114.0,1371500.0,747.56,33.08,12.0,0.991,0.9774,41.63,27.5,0.083148,0.13615845,155,83
82,Westside Estate Agency Inc.,98,719577310.0,2962500.0,1013.65,58.65,31.5,0.955,0.9316,62.68,26.59,0.02190458,0.13490631,591,85
83,Vista Sotheby's International Realty,426,717351750.5,1324500.0,732.88,38.93,18.0,0.9942,2.7996,49.18,32.23,0.09521787,0.13448906,127,86
84,Carmel Realty Company,224,706570275.0,2662500.0,1088.16,58.93,16.5,0.9754,0.9462,60.39,33.81,0.05006761,0.13246775,277,87
85,Wetrust Realty,595,700043844.5,920000.0,544.19,39.4,20.0,0.9952,1811.7839,47.71,31.7,0.1329921,0.13124417,87,88
86,Non-member Office,305,699041090.0,826450.0,499.79,52.74,29.0,1.0097,0.9829,54.93,35.02,0.06817242,0.13105618,201,89
87,BQ Realty,363,698996769.0,1730000.0,1075.16,20.28,10.0,1.0537,1.0458,19.83,28.24,0.08113636,0.13104787,161,90
